,team,games,errors,pick_offs,putouts,assists,double_plays,fielding_pct,passed_balls,stolen_bases,caught_stealing,cs_percent,year,win,lose,draw,win_rate,rank,errors_per_game,pick_offs_per_game,putouts_per_game,assists_per_game,double_plays_per_game,passed_balls_per_game,predicted_win_rate,residual
99,Heroes,128,97,15,3439,1463,142,0.981,11,133,65,32.8,2013,72,54,2,0.571,3,0.7578125,0.1171875,26.8671875,11.4296875,1.109375,0.0859375,0.5386851523624179,0.03231484763758208
100,NC Dinos,128,93,10,3433,1373,121,0.981,8,87,55,38.7,2013,52,72,4,0.419,7,0.7265625,0.078125,26.8203125,10.7265625,0.9453125,0.0625,0.5294735252029996,-0.11047352520299963
101,Kia Tigers,128,71,10,3427,1318,103,0.985,10,193,57,22.8,2013,51,74,3,0.408,8,0.5546875,0.078125,26.7734375,10.296875,0.8046875,0.078125,0.5202618980435805,-0.1122618980435805
102,Incheon,128,84,14,3417,1350,128,0.983,11,81,47,36.7,2013,62,63,3,0.496,6,0.65625,0.109375,26.6953125,10.546875,1.0,0.0859375,0.5049091861112167,-0.008909186111216716
103,LG Twins,128,77,14,3404,1436,165,0.984,8,123,51,29.3,2013,74,54,0,0.578,2,0.6015625,0.109375,26.59375,11.21875,1.2890625,0.0625,0.48495066059914294,0.09304933940085702
104,Hanwha Eagles,128,74,5,3387,1301,103,0.984,12,159,56,26.0,2013,42,85,1,0.331,9,0.578125,0.0390625,26.4609375,10.1640625,0.8046875,0.09375,0.45885105031412365,-0.12785105031412364
105,Doosan Bears,128,81,3,3371,1268,102,0.983,7,113,46,28.9,2014,59,68,1,0.465,6,0.6328125,0.0234375,26.3359375,9.90625,0.796875,0.0546875,0.43428671122234164,0.030713288777658387
106,Hanwha Eagles,128,113,7,3387,1344,126,0.977,12,110,59,34.9,2014,49,77,2,0.389,9,0.8828125,0.0546875,26.4609375,10.5,0.984375,0.09375,0.45885105031412365,-0.06985105031412364
107,Kia Tigers,128,94,7,3365,1348,131,0.98,7,162,64,28.3,2014,54,74,0,0.422,8,0.734375,0.0546875,26.2890625,10.53125,1.0234375,0.0546875,0.4250750840629234,-0.0030750840629233944
108,LG Twins,128,91,10,3428,1414,125,0.982,9,119,48,28.7,2014,62,64,2,0.492,4,0.7109375,0.078125,26.78125,11.046875,0.9765625,0.0703125,0.5217971692368168,-0.029797169236816856
109,Lotte Giants,128,89,16,3400,1407,134,0.982,11,84,37,30.6,2014,58,69,1,0.457,7,0.6953125,0.125,26.5625,10.9921875,1.046875,0.0859375,0.47880957582619743,-0.021809575826197414
110,NC Dinos,128,87,6,3407,1384,125,0.982,9,94,43,31.4,2014,70,57,1,0.551,3,0.6796875,0.046875,26.6171875,10.8125,0.9765625,0.0703125,0.48955647417885206,0.06144352582114798
111,Heroes,128,79,12,3395,1342,125,0.984,7,118,44,27.2,2014,78,48,2,0.619,2,0.6171875,0.09375,26.5234375,10.484375,0.9765625,0.0546875,0.47113321986001555,0.14786678013998444
112,Incheon,128,107,3,3388,1373,132,0.978,6,103,51,33.1,2014,61,65,2,0.484,5,0.8359375,0.0234375,26.46875,10.7265625,1.03125,0.046875,0.4603863215073609,0.023613678492639067
113,Samsung Lions,128,77,6,3432,1171,104,0.984,8,100,44,30.6,2014,78,47,3,0.624,1,0.6015625,0.046875,26.8125,9.1484375,0.8125,0.0625,0.5279382540097624,0.09606174599023765
114,Heroes,144,110,24,3858,1540,138,0.98,10,111,52,31.9,2015,78,65,1,0.545,4,0.7638888888888888,0.16666666666666666,26.791666666666668,10.694444444444445,0.9583333333333334,0.06944444444444445,0.5238441974944656,0.021155802505534393
115,Doosan Bears,144,93,7,3858,1498,134,0.983,6,109,48,30.6,2015,79,65,0,0.549,3,0.6458333333333334,0.04861111111111111,26.791666666666668,10.402777777777779,0.9305555555555556,0.041666666666666664,0.5238441974944656,0.025155802505534397
116,Lotte Giants,144,114,10,3844,1569,138,0.979,16,107,54,33.5,2015,66,77,1,0.462,8,0.7916666666666666,0.06944444444444445,26.694444444444443,10.895833333333334,0.9583333333333334,0.1111111111111111,0.5047386004230789,-0.04273860042307892
117,Incheon,144,95,7,3842,1471,130,0.982,6,108,51,32.1,2015,69,73,2,0.486,5,0.6597222222222222,0.04861111111111111,26.680555555555557,10.215277777777779,0.9027777777777778,0.041666666666666664,0.5020092294128817,-0.016009229412881743
118,LG Twins,144,103,14,3839,1608,162,0.981,8,127,52,29.1,2015,64,78,2,0.451,9,0.7152777777777778,0.09722222222222222,26.65972222222222,11.166666666666666,1.125,0.05555555555555555,0.49791517289758414,-0.04691517289758412
119,Hanwha Eagles,144,105,9,3839,1582,145,0.981,14,165,63,27.6,2015,68,76,0,0.472,6,0.7291666666666666,0.0625,26.65972222222222,10.98611111111111,1.0069444444444444,0.09722222222222222,0.49791517289758414,-0.02591517289758416
120,NC Dinos,144,83,3,3838,1460,133,0.985,5,85,37,30.3,2015,84,57,3,0.596,2,0.5763888888888888,0.020833333333333332,26.65277777777778,10.13888888888889,0.9236111111111112,0.034722222222222224,0.49655048739248553,0.09944951260751445
121,Samsung Lions,144,96,9,3826,1304,104,0.982,8,80,49,38.0,2015,88,56,0,0.611,1,0.6666666666666666,0.0625,26.569444444444443,9.055555555555555,0.7222222222222222,0.05555555555555555,0.48017426133129604,0.13082573866870395
122,Kia Tigers,144,84,14,3819,1537,148,0.985,6,140,56,28.6,2015,67,77,0,0.465,7,0.5833333333333334,0.09722222222222222,26.520833333333332,10.67361111111111,1.0277777777777777,0.041666666666666664,0.47062146279560313,-0.005621462795603105
123,KT Wiz,144,118,14,3800,1530,159,0.978,6,139,64,31.5,2015,52,91,1,0.364,10,0.8194444444444444,0.09722222222222222,26.38888888888889,10.625,1.1041666666666667,0.041666666666666664,0.4446924381987216,-0.08069243819872163
124,Doosan Bears,144,79,8,3863,1522,160,0.986,4,82,44,34.9,2016,93,50,1,0.65,1,0.5486111111111112,0.05555555555555555,26.82638888888889,10.569444444444445,1.1111111111111112,0.027777777777777776,0.5306676250199613,0.11933237498003868
125,Hanwha Eagles,144,124,7,3878,1497,152,0.977,8,124,66,34.7,2016,66,75,3,0.468,7,0.8611111111111112,0.04861111111111111,26.930555555555557,10.395833333333334,1.0555555555555556,0.05555555555555555,0.5511379075964467,-0.08313790759644663
126,KT Wiz,144,130,5,3819,1550,151,0.976,11,115,55,32.4,2016,53,89,2,0.373,10,0.9027777777777778,0.034722222222222224,26.520833333333332,10.76388888888889,1.0486111111111112,0.0763888888888889,0.47062146279560313,-0.09762146279560313
127,Kia Tigers,144,111,10,3828,1441,139,0.979,4,136,49,26.5,2016,70,73,1,0.49,5,0.7708333333333334,0.06944444444444445,26.583333333333332,10.006944444444445,0.9652777777777778,0.027777777777777776,0.48290363234149414,0.007096367658505853
128,LG Twins,144,103,12,3863,1580,139,0.981,9,80,49,38.0,2016,71,71,2,0.5,4,0.7152777777777778,0.08333333333333333,26.82638888888889,10.972222222222221,0.9652777777777778,0.0625,0.5306676250199613,-0.030667625019961342
129,Lotte Giants,144,91,14,3799,1545,142,0.983,14,90,59,39.6,2016,66,78,0,0.458,8,0.6319444444444444,0.09722222222222222,26.381944444444443,10.729166666666666,0.9861111111111112,0.09722222222222222,0.4433277526936221,0.014672247306377895
130,NC Dinos,144,100,4,3859,1430,136,0.981,3,70,43,38.1,2016,83,58,3,0.589,2,0.6944444444444444,0.027777777777777776,26.79861111111111,9.930555555555555,0.9444444444444444,0.020833333333333332,0.5252088829995643,0.06379111700043572
131,Heroes,144,94,8,3841,1460,121,0.983,11,98,60,38.0,2016,77,66,1,0.538,3,0.6527777777777778,0.05555555555555555,26.67361111111111,10.13888888888889,0.8402777777777778,0.0763888888888889,0.5006445439077822,0.0373554560922178
